证书签发完成,"Certificate Issued"
"实例 [%{1}] 复用共享 %{2}: %{3} (port=%{4}, pid=%{5}, process=%{6})","Instance [%{1}] reuses shared %{2}: %{3} (port=%{4}, pid=%{5}, process=%{6})"
"WLS 维护模式已确认落地：%{1}","WLS maintenance state confirmed: %{1}"
"WLS 维护模式同步失败：%{1}","WLS maintenance mode synchronization failed: %{1}"
默认值,"Default Value"
"已保存实例配置 (%{1})","Saved instance configuration (%{1})"
env.wls,env.wls
env.wls.servers.%{1},env.wls.servers.%{1}
命令行参数,"Command line arguments"
"命令行参数 --edge","命令行参数 --edge"
环境变量,环境变量
"命令行参数 --no-nginx","Command-line option --no-nginx"
"参数 --http-redirect-port/--redirect-port 已弃用并忽略。HTTP 重定向规则固定为：仅 HTTPS=443 时使用 80。","Parameter --http-redirect-port/--redirect-port is deprecated and ignored. HTTP redirect rule is fixed: use port 80 only when HTTPS=443."
"真实 Host 解析校验失败","Real Host DNS validation failed"
手动配置,"Manually configured"
"正在为 %{1} 准备 SSL 证书...","Preparing SSL certificate for %{1}..."
"检测到冷启动阶段 ACME HTTP-01 校验入口尚未就绪：已先用自签证书启动（%{1}）。","Detected that the ACME HTTP-01 verification entry is not yet ready during cold start: starting with a self-signed certificate for now (%{1})."
"自签证书生成失败，继续走公网 ACME 申请：%{1}","Self-signed certificate generation failed, proceeding with public ACME request: %{1}"
"SSL 证书已签发：%{1}（签发方：%{2}，耗时 %{3}ms）","SSL certificate issued: %{1} (Issued by: %{2}, took %{3}ms)"
"本地 CA","Local CA"
"使用已有证书：%{1}（签发方：%{2}，耗时 %{3}ms）","Using existing certificate: %{1} (Issued by: %{2}, took %{3}ms)"
使用已有证书：%{1}（签发方：%{2}）,"Using existing certificate: %{1} (Issued by: %{2})"
"SSL 证书准备失败：%{1}（耗时 %{2}ms）— %{3}","SSL certificate preparation failed: %{1} (took %{2}ms) - %{3}"
"PENDING_CERTIFICATE：%{1} 尚无可用证书；当前只允许精确 ACME HTTP-01 challenge，证书激活前不发布普通 443 路由。","PENDING_CERTIFICATE：%{1} 尚无可用证书；当前只允许精确 ACME HTTP-01 challenge，证书激活前不发布普通 443 路由。"
"TLS_CERTIFICATE_UNAVAILABLE：纯 WLS/备用入口没有 %{1} 的有效证书，已拒绝生成隐式自签名证书。","TLS_CERTIFICATE_UNAVAILABLE：纯 WLS/备用入口没有 %{1} 的有效证书，已拒绝生成隐式自签名证书。"
已有证书,已有证书
"启动已阻止：真实 Host %{1} 尚未解析到 A/AAAA 记录。请先把域名解析到当前服务器 IP 后再启动 WLS。","Startup blocked: real Host %{1} has no A/AAAA records yet. Point the domain to the current server IP before starting WLS."
"启动已阻止：无法确认当前服务器 IP，不能校验真实 Host %{1} 是否指向本机。请配置 app/etc/env.php -> wls.public_ip 后重试。","Startup blocked: cannot determine the current server IP, so real Host %{1} cannot be checked against this machine. Configure app/etc/env.php -> wls.public_ip and retry."
"启动已阻止：真实 Host %{1} 未解析到当前服务器 IP。当前解析：%{2}；本机 IP：%{3}。请先修正 DNS A/AAAA 后再启动 WLS。","Startup blocked: real Host %{1} does not resolve to the current server IP. Current DNS: %{2}; server IP: %{3}. Fix DNS A/AAAA records before starting WLS."
"检测到冷启动阶段 ACME HTTP-01 校验失败：%{1}","Detected ACME HTTP-01 verification failure during cold start: %{1}"
"已临时启用自签证书启动实例；待 Dispatcher/Worker 就绪后将自动重试正式证书申请。","Temporarily enabled self-signed certificate to start instance; will automatically retry formal certificate application once Dispatcher/Worker is ready."
"附加 Host 证书就绪：%{1}（签发方：%{2}）","Additional Host certificate ready: %{1} (Issuer: %{2})"
"附加 Host 证书准备失败：%{1} - %{2}","Additional Host certificate preparation failed: %{1} - %{2}"
"Windows server:start 默认不自动写 hosts，避免 UAC/权限弹窗阻塞启动。","Windows server:start 默认不自动写 hosts，避免 UAC/权限弹窗阻塞启动。"
请按需以管理员身份执行：,请按需以管理员身份执行：
"或手动添加到 hosts：127.0.0.1 %{1}","或手动添加到 hosts：127.0.0.1 %{1}"
"如需恢复启动时自动写 hosts，可显式设置 WLS_AUTO_WRITE_WINDOWS_HOSTS=1。","如需恢复启动时自动写 hosts，可显式设置 WLS_AUTO_WRITE_WINDOWS_HOSTS=1。"
"已将 %{1} 的 hosts 记录纠正为 127.0.0.1","Repaired hosts entry for %{1} to 127.0.0.1"
"已将 %{1} 添加到 hosts 文件","Added %{1} to hosts file"
"无法自动配置 hosts 文件（需要管理员权限）","Unable to automatically configure hosts file (requires administrator privileges)"
"请手动添加以下内容到 hosts 文件：","Please manually add the following content to the hosts file:"
"Windows hosts 文件位置：","Windows hosts file location:"
"或以管理员身份运行 PowerShell 执行：","or run PowerShell as Administrator and execute:"
"Linux/Mac 执行：","Linux/Mac execution:"
"配置 hosts 文件失败: %{1}","Failed to configure hosts file: %{1}"
"正在为本地泛域名 %{1} 准备 SSL 证书...","正在为本地泛域名 %{1} 准备 SSL 证书..."
本地泛域名证书已就绪：%{1},本地泛域名证书已就绪：%{1}
本地泛域名证书准备失败：%{1},本地泛域名证书准备失败：%{1}
"已为 %{1} 生成自签证书","Self-signed certificate generated for %{1}"
无效的实例名称：%{1}，只允许字母开头，包含字母、数字、下划线和横线,"Invalid instance name: %{1}, must start with a letter and can only contain letters, numbers, underscores, and hyphens"
内部拓扑,"Internal topology"
TLS,TLS
"TLS 会话恢复","TLS session resumption"
"跨连接/跨 Worker Reused pending","Cross-connection/cross-Worker Reused pending"
HTTP/3,HTTP/3
"不可用；需使用托管 Nginx","Unavailable; requires managed Nginx"
运行模式,"Runtime mode"
后台运行（默认）,"Backend Running (Default)"
前台运行,"Run in Foreground"
平台,Platform
配置来源,"Configuration source"
智能模式,"Smart Mode"
网关公网端点未验证,网关公网端点未验证
"WLS 私网回源","WLS private upstream"
网关状态,网关状态
"网关 epoch","网关 epoch"
"Nginx 公网端点未验证","Nginx public endpoint is unverified"
"HTTP/3 QUIC pending","HTTP/3 QUIC pending"
"shared cache/tickets；live Reused 已验证：%{1}","shared cache/tickets; live Reused verified: %{1}"
"shared cache/tickets 已配置；live Reused pending","shared cache/tickets configured; live Reused pending"
未配置或未验证,"Not configured or verified"
"检测到特权端口 %{1}，当前用户无法直接绑定。","Detected privileged port %{1}, current user cannot bind directly."
"未找到 setcap 命令，跳过 setcap 方式。","setcap command not found, skipping setcap method."
"PHP 已有 cap_net_bind_service 但绑定仍失败，可能需要重新设置。","PHP already exists cap_net_bind_service but the binding still fails and may need to be reset."
"推荐方案：通过 setcap 授权 PHP 绑定特权端口（以当前用户运行，避免 root 文件权限问题）","Recommended solution: authorize PHP to bind privileged ports via setcap (run as current user to avoid root file permission issues)"
"PHP 路径：%{1}","PHP Path: %{1}"
将执行：%{1},"Will execute: %{1}"
"是否使用 setcap 授权？[Y/n]","Use setcap authorization? [Y/n]"
"setcap 执行失败（退出码 %{1}），将回退到 sudo 方式。","setcap execution fails (exit code %{1}) and will fall back to sudo mode."
"setcap 执行成功但 getcap 未检测到 capability，可能被 SELinux/AppArmor 拦截。","setcap is executed successfully but getcap does not detect the capability and may be intercepted by SELinux/AppArmor."
"setcap 授权成功！capability 已写入 PHP 二进制，以当前用户重新启动服务...","setcap authorization successful! capability has been written into the PHP binary, restart the service as the current user..."
请手动重新执行：%{1},"Please manually re-execute: %{1}"
重启失败，退出码：%{1},"Restart failed, exit code: %{1}"
"端口 %{1} 需要 root 权限，请使用 sudo 重新执行。","Port %{1} requires root privileges, please re-run using sudo."
"回退方案：以 sudo (root) 启动。注意：root 进程生成的文件属主为 root，可能导致其他用户权限问题。","Fallback plan: Start with sudo (root). Note: Files generated by the root process will be owned by root, which may cause permission issues for other users."
将执行命令：%{1},"Will execute the command: %{1}"
"是否使用 sudo 继续？[Y/n]","Continue with sudo? [Y/n]"
已取消。你可以手动执行：%{1},"Canceled. You can manually execute: %{1}"
"端口 %{1} 需要 root 权限；passthru/proc_open 均不可用，请使用 sudo 重新执行：","Port %{1} requires root privileges; passthru/proc_open are not available, please re-run using sudo:"
"sudo 执行失败，退出码：%{1}","sudo execution failed, exit code: %{1}"
"%{1} 检测到 socket 权限问题：%{2}","%{1} detected socket permission issue: %{2}"
"端口 %{1} 绑定需要更高权限（可能由防火墙或系统安全设置引起）。","Port %{1} binding requires elevated permissions (possibly due to firewall or system security settings)."
进程函数：%{1},"Process function: %{1}"
"服务器实例 [%{1}] 已在运行中（端口 %{2}）","Server instance [%{1}] is already running (port %{2})"
如需重启该实例：,"To restart this instance:"
"或使用 -r -f 强制切换（不等待请求完成）：","or use -r -f to force switch (without waiting for requests to complete):"
如需启动另一个实例（多实例并行）：,"To start another instance (multi-instance parallel):"
"旧实例 [%{1}] 未完全停止，已中止本次启动，避免启动第二个同名实例。","Old instance [%{1}] did not fully stop; this startup has been aborted to avoid starting a second instance with the same name."
